Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,19.290001,19.770000,18.990000,19.379999,18.116087,280800
2015-01-05,19.110001,19.180000,18.129999,18.320000,17.125217,565300
2015-01-06,18.389999,18.690001,17.530001,18.480000,17.274782,457700
2015-01-07,18.629999,20.450001,18.629999,20.340000,19.013479,679600
2015-01-08,20.700001,21.680000,19.510000,21.209999,19.826738,1113300
2015-01-09,19.459999,19.520000,17.900000,18.190001,17.003696,1777200
2015-01-12,18.330000,18.900000,18.170000,18.370001,17.171957,540900
2015-01-13,18.430000,18.629999,17.070000,17.219999,16.096956,550000
2015-01-14,17.100000,17.959999,16.700001,17.770000,16.611088,527200
2015-01-15,17.770000,17.889999,17.250000,17.459999,16.321304,321800
2015-01-16,17.360001,18.330000,16.969999,18.150000,16.966305,469800
2015-01-20,18.219999,18.500000,17.680000,18.430000,17.228045,375500
2015-01-21,18.410000,19.520000,18.270000,19.219999,17.966522,434300
2015-01-22,19.340000,19.459999,18.680000,18.870001,17.639349,245200
2015-01-23,18.790001,18.940001,18.270000,18.830000,17.601957,242700
2015-01-26,18.719999,19.580000,18.639999,19.090000,17.845001,256600
2015-01-27,18.770000,19.350000,18.389999,18.910000,17.676739,190400
2015-01-28,18.910000,19.030001,18.110001,18.690001,17.471088,256700
2015-01-29,18.690001,19.200001,18.520000,19.100000,17.854349,233500
2015-01-30,18.860001,19.209999,18.180000,18.219999,17.031738,260300
2015-02-02,18.260000,18.670000,17.830000,18.670000,17.452393,210000
2015-02-03,18.709999,19.490000,18.709999,19.139999,17.891739,302800
2015-02-04,18.920000,19.450001,18.790001,19.190001,17.938478,221300
2015-02-05,19.190001,19.750000,19.129999,19.270000,18.013262,179700
2015-02-06,19.209999,19.400000,18.930000,19.250000,17.994566,126700
2015-02-09,19.209999,19.209999,18.850000,19.090000,17.845001,159000
2015-02-10,19.120001,19.780001,18.860001,19.500000,18.228262,222800
2015-02-11,19.490000,20.000000,19.280001,19.990000,18.686304,258300
2015-02-12,20.000000,20.370001,19.830000,20.020000,18.714348,566500
2015-02-13,19.959999,20.730000,19.910000,20.170000,18.854565,395200
2015-02-17,20.010000,20.490000,19.790001,19.889999,18.592825,591700
2015-02-18,19.799999,20.590000,19.780001,20.030001,18.723696,191100
2015-02-19,20.010000,20.200001,19.690001,19.879999,18.583477,276600
2015-02-20,19.860001,19.959999,19.139999,19.570000,18.293695,200000
2015-02-23,19.570000,19.570000,18.590000,18.820000,17.592609,289600
2015-02-24,18.830000,19.290001,18.740000,18.910000,17.676739,166200
2015-02-25,18.940001,19.250000,18.469999,18.520000,17.312174,154800
2015-02-26,18.629999,18.959999,17.879999,18.559999,17.349566,198600
2015-02-27,18.620001,18.879999,18.410000,18.420000,17.218697,206600
2015-03-02,18.459999,18.790001,18.340000,18.760000,17.536522,235600
2015-03-03,18.650000,19.170000,18.620001,19.010000,17.770218,205900
2015-03-04,18.990000,18.990000,18.180000,18.670000,17.452393,229300
2015-03-05,18.610001,18.730000,18.350000,18.629999,17.414999,174800
2015-03-06,18.520000,18.790001,18.059999,18.150000,16.966305,155800
2015-03-09,18.240000,18.559999,18.030001,18.180000,16.994349,145900
2015-03-10,18.010000,18.420000,17.879999,18.290001,17.097176,129000
2015-03-11,18.389999,18.910000,18.180000,18.549999,17.340218,151800
2015-03-12,18.469999,18.980000,18.459999,18.940001,17.704782,144600
2015-03-13,18.950001,19.260000,18.740000,18.930000,17.695435,137600
2015-03-16,18.969999,19.250000,18.540001,18.680000,17.461740,194700
2015-03-17,18.580000,19.139999,18.559999,18.799999,17.573914,204000
2015-03-18,18.719999,19.100000,18.600000,19.020000,17.779566,72400
2015-03-19,18.969999,19.879999,18.959999,19.430000,18.162827,163700
2015-03-20,19.570000,19.820000,18.709999,18.809999,17.583261,238400
